(115988892, 620138462)	('21reasonswhywelovezayn',)
(153968990, 28398084)	('giveaway',)
(153968990, 594187137)	('giveaway',)
(153968990, 55359948)	('giveaway',)
(153968990, 987811740)	('giveaway',)
(1005593198, 2269236895)	('news',)
(1005593198, 288422596)	('tcot',)
(1005593198, 14907009)	('news',)
(1005593198, 252433607)	('news',)
(1005593198, 1375053553)	('tcot',)
(1005593198, 2209606256)	('news',)
(522811735, 895578223)	('rt',)
(522811735, 1065061434)	('rt',)
(522811735, 54994600)	('rt',)
(522811735, 378892142)	('rt',)
(522811735, 1264007318)	('rt',)
(522811735, 251055804)	('rt',)
(522811735, 709633135)	('rt',)
(522811735, 1731125918)	('rt',)
(824771154, 891292338)	('cbb',)
(824771154, 1340888226)	('cbb',)
(156495712, 1494178627)	('mrsbieber',)
(1103524008, 1695002706)	('qna',)
(895578223, 522811735)	('rt',)
(895578223, 775685359)	('follow',)
(895578223, 1065061434)	('rt',)
(895578223, 54994600)	('rt',)
(895578223, 2229353819)	('teamfollowback',)
(895578223, 2239129534)	('teamfollowback',)
(895578223, 2201038520)	('teamfollowback',)
(895578223, 545603530)	('teamfollowback',)
(895578223, 378892142)	('rt',)
(895578223, 1264007318)	('rt',)
(895578223, 2269391142)	('teamfollowback',)
(895578223, 711411645)	('follow4follow',)
(895578223, 2244534042)	('teamfollowback',)
(895578223, 251055804)	('rt',)
(895578223, 1065061434)	('teamfollowback',)
(895578223, 2194188276)	('teamfollowback',)
(895578223, 985975068)	('teamfollowback',)
(895578223, 2161124936)	('follow',)
(895578223, 1138371511)	('teamfollowback',)
(895578223, 852770294)	('teamfollowback', 'follow2befollowed')
(895578223, 1462434522)	('follow',)
(895578223, 1631314586)	('follow',)
(895578223, 1566071593)	('follow',)
(895578223, 709633135)	('rt', 'follow')
(895578223, 1731125918)	('rt',)
(26552251, 1614711692)	('iphone',)
(26552251, 74229904)	('iphone',)
(26552251, 175439030)	('iphone',)
(26552251, 74229904)	('iphone',)
(26552251, 241011705)	('iphone',)
(1606223048, 229791173)	('happykyungsooday',)
(1606223048, 379480947)	('happykyungsooday',)
(1606223048, 389247057)	('happykyungsooday',)
(1606223048, 1961555942)	('happykyungsooday',)
(1606223048, 1174644019)	('happykyungsooday',)
(1606223048, 220696698)	('happykyungsooday',)
(1606223048, 1399731380)	('happykyungsooday',)
(1606223048, 2261039574)	('happykyungsooday',)
(1606223048, 1021434272)	('happykyungsooday',)
(1606223048, 377203386)	('happykyungsooday',)
(1606223048, 1539041437)	('happykyungsooday',)
(1606223048, 1241823506)	('happykyungsooday',)
(1606223048, 450431691)	('happykyungsooday',)
(1606223048, 307196927)	('happykyungsooday',)
(1606223048, 385779348)	('happykyungsooday',)
(1606223048, 1279157114)	('happykyungsooday',)
(775685359, 895578223)	('follow',)
(775685359, 1923338977)	('retweet',)
(775685359, 2229353819)	('retweet',)
(775685359, 2239129534)	('retweet',)
(775685359, 2201038520)	('retweet',)
(775685359, 545603530)	('retweet',)
(775685359, 719837532)	('retweet',)
(775685359, 2269391142)	('retweet',)
(775685359, 628140857)	('retweet',)
(775685359, 2244534042)	('retweet',)
(775685359, 1065061434)	('retweet',)
(775685359, 2273581637)	('retweet',)
(775685359, 2262139083)	('retweet',)
(775685359, 1151885630)	('retweet',)
(775685359, 1129407384)	('retweet',)
(775685359, 503812374)	('retweet',)
(775685359, 2161124936)	('followpyramid', 'follow', 'retweet')
(775685359, 1138371511)	('retweet',)
(775685359, 852770294)	('retweet',)
(775685359, 1462434522)	('follow',)
