(1000938283, 1678307414) 	(1, set(["'hurry'"]))
(1001668418, 1176542268) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1001668418, 1220748181) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1001668418, 1234926085) 	(1, set(["'gameinsight'"]))
(1001668418, 1242646303) 	(1, set(["'gameinsight'"]))
(1001668418, 1261218080) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1001668418, 1282114200) 	(1, set(["'gameinsight'"]))
(1001668418, 1335524202) 	(1, set(["'gameinsight'"]))
(1001668418, 1407402936) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1001668418, 1459905258) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1001668418, 150164143) 	(1, set(["'gameinsight'"]))
(1001668418, 1614711692) 	(1, set(["'gameinsight'"]))
(1001668418, 1658571368) 	(1, set(["'android'"]))
(1001668418, 173769451) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1001668418, 175439030) 	(1, set(["'gameinsight'"]))
(1001668418, 1831597285) 	(1, set(["'gameinsight'"]))
(1001668418, 184363448) 	(1, set(["'gameinsight'"]))
(1001668418, 20146536) 	(1, set(["'gameinsight'"]))
(1001668418, 2164881367) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1001668418, 2201792924) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1001668418, 22663195) 	(1, set(["'gameinsight'"]))
(1001668418, 254319787) 	(1, set(["'gameinsight'"]))
(1001668418, 259983969) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1001668418, 26829635) 	(1, set(["'gameinsight'"]))
(1001668418, 280935112) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1001668418, 328163581) 	(1, set(["'gameinsight'"]))
(1001668418, 334323818) 	(1, set(["'gameinsight'"]))
(1001668418, 417388167) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1001668418, 53450179) 	(1, set(["'gameinsight'"]))
(1001668418, 550199697) 	(1, set(["'gameinsight'"]))
(1001668418, 556827415) 	(1, set(["'gameinsight'"]))
(1001668418, 602380138) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1001668418, 74229904) 	(1, set(["'gameinsight'"]))
(1001668418, 848626898) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1001668418, 85240499) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1001668418, 94967912) 	(1, set(["'gameinsight'"]))
(1001668418, 951244134) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1005593198, 1375053553) 	(1, set(["'tcot'"]))
(1005593198, 14907009) 	(1, set(["'news'"]))
(1005593198, 2209606256) 	(1, set(["'news'"]))
(1005593198, 2269236895) 	(1, set(["'news'"]))
(1005593198, 252433607) 	(1, set(["'news'"]))
(1005593198, 288422596) 	(1, set(["'tcot'"]))
(1021434272, 1174644019) 	(1, set(["'happykyungsooday'"]))
(1021434272, 1241823506) 	(1, set(["'happykyungsooday'"]))
(1021434272, 1279157114) 	(1, set(["'happykyungsooday'"]))
(1021434272, 1399731380) 	(1, set(["'happykyungsooday'"]))
(1021434272, 1539041437) 	(1, set(["'happykyungsooday'"]))
(1021434272, 1606223048) 	(1, set(["'happykyungsooday'"]))
(1021434272, 1961555942) 	(1, set(["'happykyungsooday'"]))
(1021434272, 220696698) 	(1, set(["'happykyungsooday'"]))
(1021434272, 2261039574) 	(1, set(["'happykyungsooday'"]))
(1021434272, 229791173) 	(1, set(["'happykyungsooday'"]))
(1021434272, 307196927) 	(1, set(["'happykyungsooday'"]))
(1021434272, 377203386) 	(1, set(["'happykyungsooday'"]))
(1021434272, 379480947) 	(1, set(["'happykyungsooday'"]))
(1021434272, 385779348) 	(1, set(["'happykyungsooday'"]))
(1021434272, 389247057) 	(1, set(["'happykyungsooday'"]))
(1021434272, 450431691) 	(1, set(["'happykyungsooday'"]))
(1033862316, 303583573) 	(1, set(["'tchelpedmegain'"]))
(1033862316, 378754783) 	(1, set(["'tchelpedmegain'"]))
(1033862316, 504643694) 	(1, set(["'tchelpedmegain'"]))
(105575938, 38220627) 	(1, set(["'runner'"]))
(1056282384, 497513509) 	(1, set(["'bvd'"]))
(1064066208, 1075380937) 	(1, set(["'exadirectioners'"]))
(1064066208, 1280508122) 	(1, set(["'exadirectioners'"]))
(1064066208, 1293308695) 	(1, set(["'exabeliebers'"]))
(1064066208, 1360486507) 	(1, set(["'exadirectioners'"]))
(1064066208, 1494898957) 	(1, set(["'exadirectioners'"]))
(1064066208, 1495441500) 	(1, set(["'exadirectioners'"]))
(1064066208, 1500558018) 	(1, set(["'exadirectioners'"]))
(1064066208, 1521892128) 	(1, set(["'exabeliebers'"]))
(1064066208, 1539967478) 	(1, set(["'exadirectioners'"]))
(1064066208, 1548698851) 	(2, set([" 'exabeliebers'", "'exadirectioners'"]))
(1064066208, 1601598006) 	(1, set(["'exabeliebers'"]))
(1064066208, 1629145248) 	(1, set(["'exadirectioners'"]))
(1064066208, 1631428891) 	(1, set(["'exadirectioners'"]))
(1064066208, 1661727884) 	(1, set(["'exadirectioners'"]))
(1064066208, 1661758592) 	(1, set(["'exadirectioners'"]))
(1064066208, 1844115444) 	(1, set(["'exadirectioners'"]))
(1064066208, 190927690) 	(1, set(["'exadirectioners'"]))
(1064066208, 1951279062) 	(1, set(["'exadirectioners'"]))
(1064066208, 1957868742) 	(1, set(["'exabeliebers'"]))
(1064066208, 2155238964) 	(1, set(["'exadirectioners'"]))
(1064066208, 2222176842) 	(1, set(["'exabeliebers'"]))
(1064066208, 2262344692) 	(1, set(["'exabeliebers'"]))
(1064066208, 2267940914) 	(2, set([" 'exabeliebers'", "'exadirectioners'"]))
(1064066208, 2268662113) 	(2, set([" 'exabeliebers'", "'exadirectioners'"]))
(1064066208, 2268998065) 	(1, set(["'exadirectioners'"]))
(1064066208, 2277695316) 	(2, set([" 'exabeliebers'", "'exadirectioners'"]))
(1064066208, 387903201) 	(1, set(["'exabeliebers'"]))
(1064066208, 438409827) 	(1, set(["'exadirectioners'"]))
(1064066208, 482820299) 	(1, set(["'cnenjoyweekend'"]))
(1064066208, 482958998) 	(1, set(["'exadirectioners'"]))
(1064066208, 526112989) 	(1, set(["'exadirectioners'"]))
(1064066208, 550712914) 	(1, set(["'exadirectioners'"]))
(1064066208, 553667989) 	(1, set(["'exadirectioners'"]))
(1064066208, 567411739) 	(1, set(["'exabeliebers'"]))
(1064066208, 571244384) 	(1, set(["'exabeliebers'"]))
(1064066208, 735137947) 	(1, set(["'exadirectioners'"]))
(1064066208, 79492409) 	(1, set(["'exadirectioners'"]))
(1064066208, 806259788) 	(1, set(["'exadirectioners'"]))
(1064066208, 827613722) 	(1, set(["'exabeliebers'"]))
(1064066208, 840229986) 	(1, set(["'exadirectioners'"]))
(1064066208, 895230932) 	(1, set(["'exadirectioners'"]))
(1064066208, 911562086) 	(1, set(["'exadirectioners'"]))
(1064066208, 981413491) 	(1, set(["'exadirectioners'"]))
(1064066208, 997377012) 	(1, set(["'exadirectioners'"]))
(1065061434, 1129407384) 	(1, set(["'retweet'"]))
(1065061434, 1138371511) 	(2, set([" 'retweet'", "'teamfollowback'"]))
(1065061434, 1151885630) 	(1, set(["'retweet'"]))
(1065061434, 1264007318) 	(1, set(["'rt'"]))
(1065061434, 1537829047) 	(1, set(["'retweet'"]))
(1065061434, 1731125918) 	(1, set(["'rt'"]))
(1065061434, 1832243125) 	(1, set(["'followtrick'"]))
(1065061434, 1911783176) 	(1, set(["'followtrick'"]))
(1065061434, 1923338977) 	(1, set(["'retweet'"]))
(1065061434, 2161124936) 	(1, set(["'retweet'"]))
(1065061434, 2161734298) 	(1, set(["'followtrick'"]))
(1065061434, 2194188276) 	(1, set(["'teamfollowback'"]))
(1065061434, 2201038520) 	(2, set([" 'retweet'", "'teamfollowback'"]))
(1065061434, 2207730809) 	(1, set(["'followtrick'"]))
(1065061434, 2229353819) 	(2, set([" 'retweet'", "'teamfollowback'"]))
(1065061434, 2239129534) 	(2, set([" 'retweet'", "'teamfollowback'"]))
(1065061434, 2244534042) 	(2, set([" 'retweet'", "'teamfollowback'"]))
(1065061434, 2261461237) 	(1, set(["'followtrick'"]))
(1065061434, 2262139083) 	(1, set(["'retweet'"]))
(1065061434, 2269391142) 	(2, set([" 'retweet'", "'teamfollowback'"]))
(1065061434, 2273581637) 	(1, set(["'retweet'"]))
(1065061434, 234757597) 	(1, set(["'followtrick'"]))
(1065061434, 251055804) 	(1, set(["'rt'"]))
(1065061434, 310914225) 	(1, set(["'followtrick'"]))
(1065061434, 362504586) 	(1, set(["'followtrick'"]))
(1065061434, 378892142) 	(1, set(["'rt'"]))
(1065061434, 396618070) 	(1, set(["'retweet'"]))
(1065061434, 503812374) 	(1, set(["'retweet'"]))
(1065061434, 522811735) 	(1, set(["'rt'"]))
(1065061434, 535064618) 	(1, set(["'retweet'"]))
(1065061434, 545603530) 	(2, set([" 'retweet'", "'teamfollowback'"]))
(1065061434, 54994600) 	(1, set(["'rt'"]))
(1065061434, 609517265) 	(1, set(["'followtrick'"]))
(1065061434, 616706106) 	(1, set(["'followtrick'"]))
(1065061434, 628140857) 	(1, set(["'retweet'"]))
(1065061434, 709633135) 	(1, set(["'rt'"]))
(1065061434, 719837532) 	(1, set(["'retweet'"]))
(1065061434, 775685359) 	(1, set(["'retweet'"]))
(1065061434, 792502831) 	(1, set(["'followtrick'"]))
(1065061434, 852770294) 	(2, set([" 'retweet'", "'teamfollowback'"]))
(1065061434, 861521305) 	(1, set(["'followtrick'"]))
(1065061434, 895578223) 	(2, set(["'rt'", "'teamfollowback'"]))
(1065061434, 981413491) 	(1, set(["'followtrick'"]))
(1065061434, 985975068) 	(1, set(["'teamfollowback'"]))
(1075380937, 1064066208) 	(1, set(["'exadirectioners'"]))
(1075380937, 1280508122) 	(1, set(["'exadirectioners'"]))
(1075380937, 1360486507) 	(1, set(["'exadirectioners'"]))
(1075380937, 1494898957) 	(1, set(["'exadirectioners'"]))
